Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   3868 Services                   0      2,860 K
uihost.exe                   10068 Console                    1      7,992 K
sihost.exe                    3944 Console                    1     10,552 K
svchost.exe                  10184 Console                    1      1,152 K
svchost.exe                  11272 Console                    1      8,428 K
svchost.exe                  11336 Console                    1      1,024 K
svchost.exe                  11396 Console                    1      3,736 K
svchost.exe                  11476 Services                   0     11,720 K
taskhostw.exe                11492 Console                    1      3,272 K
svchost.exe                  11832 Services                   0      1,400 K
explorer.exe                 12216 Console                    1    103,988 K
ShellHost.exe                12196 Console                    1      5,224 K
CrossDeviceResume.exe        12724 Console                    1      4,008 K
RtkAudUService64.exe         12916 Console                    1        240 K
ADBCBg.exe                    6972 Console                    1        240 K
PSSvc.exe                    13896 Services                   0      1,516 K
PSAgent.exe                  14476 Console                    1        272 K
svchost.exe                  14524 Console                    1      7,448 K
SearchHost.exe               14832 Console                    1     16,596 K
StartMenuExperienceHost.e    14836 Console                    1     37,492 K
WidgetBoard.exe              14436 Console                    1      9,944 K
svchost.exe                  14964 Console                    1      2,452 K
UserOOBEBroker.exe           15052 Console                    1         16 K
WidgetService.exe            14160 Console                    1      7,756 K
PSAdminAgent.exe             15420 Console                    1        280 K
unsecapp.exe                 15456 Console                    1      2,536 K
svchost.exe                  15668 Services                   0      3,576 K
msedgewebview2.exe           15832 Console                    1      8,652 K
msedgewebview2.exe           16020 Console                    1        976 K
msedgewebview2.exe           16460 Console                    1      4,604 K
msedgewebview2.exe           16480 Console                    1      1,344 K
msedgewebview2.exe           16536 Console                    1         16 K
msedgewebview2.exe           16740 Console                    1        524 K
backgroundTaskHost.exe       10044 Console                    1         16 K
ctfmon.exe                   13944 Console                    1      9,172 K
svchost.exe                  18156 Console                    1      2,200 K
dllhost.exe                  17844 Console                    1      1,860 K
TextInputHost.exe            18980 Console                    1     21,740 K
QASvc.exe                    20324 Services                   0          N/A
QAAgent.exe                  19644 Console                    1        400 K
QAAdminAgent.exe             19840 Console                    1      1,144 K
SecurityHealthSystray.exe    10364 Console                    1      3,268 K
svchost.exe                  12972 Services                   0     11,528 K
RtkAudUService64.exe         13520 Console                    1        476 K
MicrosoftStartFeedProvide    14304 Console                    1      5,192 K
vgtray.exe                   11664 Console                    1        524 K
steam.exe                     2656 Console                    1     24,148 K
steamwebhelper.exe           12088 Console                    1     24,884 K
steamservice.exe             16616 Services                   0        920 K
steamwebhelper.exe           20264 Console                    1        588 K
steamwebhelper.exe           13624 Console                    1      7,768 K
steamwebhelper.exe            6836 Console                    1     11,824 K
